epic_host,k2_campaign_str,k2_name,alt_name,tm_designation,k2_kepmag,ra_str,dec_str,last_update
EPIC 220629489,8,K2-283 b,K2-283 b,2MASS J00524666+0941345,14.119,00h52m46.66s,+09d41m34.5s,2018-10-26
EPIC 220522262,8,K2-281 b,K2-281 b,2MASS J01045457+0716093,14.763,01h04m54.56s,+07d16m09.2s,2018-10-26
EPIC 211413752,5,K2-268 b,K2-268 b,2MASS J08545028+1150537,13.539,08h54m50.29s,+11d50m53.8s,2018-10-26
EPIC 210693462,4,K2-288 B b,K2-288 B b,2MASS J03414639+1816082,13.105,03h41m46.43s,+18d16m08.0s,2019-01-10
EPIC 206101302,3,K2-63 c,K2-63 c,2MASS J22134239-1203587,12.703,22h13m42.40s,-12d03m58.9s,2019-03-28
EPIC 220501947,8,K2-295 b,K2-295 b,2MASS J01182635+0649004,13.539,01h18m26.38s,+06d49m00.7s,2019-05-23
EPIC 246151543,12,K2-293 b,K2-293 b,2MASS J23262549-0601404,13.171,23h26m25.52s,-06d01m40.4s,2019-04-04
EPIC 246078672,12,K2-294 b,K2-294 b,2MASS J23281238-0736132,12.392,23h28m12.40s,-07d36m13.3s,2019-04-04
EPIC 247887989,13,K2-133 e,K2-133 e,2MASS J04403562+2500361,13.327,04h40m35.66s,+25d00m36.0s,2019-05-23
EPIC 205071984,2,K2-32 e,K2-32 e,2MASS J16494226-1932340,12.005,16h49m42.26s,-19d32m34.2s,2019-06-13
EPIC 201238110,1,K2-296 b,EPIC 201238110 b,2MASS J11584943-0323218,14.904,11h58m49.42s,-03d23m21.8s,2019-06-13
EPIC 201497682,1,K2-297 b,EPIC 201497682 b,2MASS J11154478+0029171,13.740,11h15m44.79s,+00d29m17.2s,2019-06-13
EPIC 201615463,10,K2-166 c,EPIC 201615463 c,2MASS J12204519+0216568,11.964,12h20m45.19s,+02d16m56.8s,2019-06-13
EPIC 201754305,1,K2-16 d,EPIC 201754305 d,2MASS J11402333+0433264,14.298,11h40m23.34s,+04d33m26.4s,2019-06-13
EPIC 201833600,1,K2-50 c,EPIC 201833600 c,2MASS J11175607+0559183,14.252,11h17m56.07s,+05d59m18.2s,2019-06-13
EPIC 201841433,1,K2-298 b,EPIC 201841433 b,2MASS J11404960+0608054,14.571,11h40m49.63s,+06d08m05.5s,2019-06-13
EPIC 205950854,3,K2-168 c,EPIC 205950854 c,2MASS J22122638-1620301,12.105,22h12m26.37s,-16d20m30.3s,2019-06-13
EPIC 206024342,3,K2-299 b,EPIC 206024342 b,2MASS J22050653-1407180,13.046,22h05m06.53s,-14d07m18.0s,2019-06-13
EPIC 206032309,3,K2-300 b,EPIC 206032309 b,2MASS J22445778-1354031,15.782,22h44m57.77s,-13d54m03.3s,2019-06-13
EPIC 206042996,3,K2-301 b,EPIC 206042996 b,2MASS J22300326-1336364,16.061,22h30m03.26s,-13d36m36.4s,2019-06-13
EPIC 206215704,3,K2-302 b,EPIC 206215704 b,2MASS J22202278-0930341,15.598,22h20m22.76s,-09d30m34.3s,2019-06-13
EPIC 206317286,3,K2-303 b,EPIC 206317286 b,2MASS J22302822-0758205,13.806,22h30m28.22s,-07d58m20.7s,2019-06-13
EPIC 212297394,6,K2-304 b,EPIC 212297394 b,2MASS J13484949-1736355,14.138,13h48m49.49s,-17d36m35.7s,2019-06-13
EPIC 212424622,6,K2-305 b,EPIC 212424622 b,2MASS J13291954-1421340,13.260,13h29m19.54s,-14d21m34.1s,2019-06-13
EPIC 212499991,6,K2-306 b,EPIC 212499991 b,2MASS J13295729-1244051,13.236,13h29m57.30s,-12d44m05.0s,2019-06-13
EPIC 212587672,6,K2-307 b,EPIC 212587672 b,2MASS J13414671-1051447,12.188,13h41m46.73s,-10d51m44.8s,2019-06-13
EPIC 220554210,8,K2-282 c,EPIC 220554210 c,2MASS J00534368+0759432,13.723,00h53m43.68s,+07d59m43.1s,2019-06-13
EPIC 205686202,2,K2-289 b,K2-289 b,2MASS J16263433-1547326,14.039,16h26m34.33s,-15d47m32.6s,2019-01-31
EPIC 210818897,4,K2-309 b,V1298 Tau b,2MASS J04051959+2009256,10.514,04h05m19.59s,+20d09m25.6s,2019-06-20
EPIC 212737443,6,K2-310 b,EPIC 212737443 b,2MASS J13365320-0719053,14.461,13h36m53.21s,-07d19m05.3s,2019-07-25
EPIC 212737443,6,K2-310 c,EPIC 212737443 c,2MASS J13365320-0719053,14.461,13h36m53.21s,-07d19m05.3s,2019-07-25
EPIC 248847494,14,K2-311 b,EPIC 248847494 b,2MASS J10373341+1150338,12.171,10h37m33.42s,+11d50m33.8s,2019-07-25
EPIC 246471491,12,K2-285 b,K2-285 b,2MASS J23173222+0118010,11.665,23h17m32.23s,+01d18m01.0s,2018-12-13
EPIC 246471491,12,K2-285 c,K2-285 c,2MASS J23173222+0118010,11.665,23h17m32.23s,+01d18m01.0s,2018-12-13
EPIC 246471491,12,K2-285 d,K2-285 d,2MASS J23173222+0118010,11.665,23h17m32.23s,+01d18m01.0s,2018-12-13
EPIC 246471491,12,K2-285 e,K2-285 e,2MASS J23173222+0118010,11.665,23h17m32.23s,+01d18m01.0s,2018-12-13
EPIC 249624646,15,K2-290 b,K2-290 b,2MASS J15392585-2011557,10.784,15h39m25.87s,-20d11m55.7s,2019-01-24
EPIC 249624646,15,K2-290 c,K2-290 c,2MASS J15392585-2011557,10.784,15h39m25.87s,-20d11m55.7s,2019-01-24
EPIC 247418783,13,K2-291 b,K2-291 b,2MASS J05054699+2132552,9.891,05h05m46.99s,+21d32m55.1s,2019-01-24
EPIC 212628254,17,K2-292 b,HD 119130 b,2MASS J13413030-0956459,9.782,13h41m30.30s,-09d56m45.9s,2019-02-07
EPIC 246865365,13,K2-308 b,EPIC 246865365 b,2MASS J05132138+1624510,14.752,05h13m21.39s,+16d24m51.1s,2019-06-13
